Cấp lớp,Môn học,Học kỳ,Chủ đề,Loại câu hỏi,Câu hỏi,Lựa chọn,Đáp án đúng,Lời giải chi tiết
Lớp 5,Toán,Học kỳ 1,6. Ôn tập Học kỳ 1,Trắc nghiệm,Kết quả của phép tính 141308 + 137445 là bao nhiêu?,278753 | 278763 | 278756 | 278750,278753,Ta có: 141308 + 137445 = 278753.
Lớp 5,Toán,Học kỳ 2,"8. Thể tích, đơn vị đo Thể tích",So sánh,"Điền dấu thích hợp (<, >, =): 70749 + 62490 ___ 10722 + 88673",,>,70749 + 62490 = 133239; 10722 + 88673 = 99395. Nên dấu là >.
Lớp 5,Toán,Học kỳ 2,12. Ôn tập cuối năm,Trắc nghiệm,Kết quả của phép tính 41562 - 19953 là bao nhiêu?,21609 | 21619 | 21605 | 21614,21609,Ta có: 41562 - 19953 = 21609.
Lớp 5,Toán,Học kỳ 2,7. Tỉ số và các Bài toán liên quan,So sánh,"Điền dấu thích hợp (<, >, =): 49208 + 60639 ___ 44211 + 87994",,<,49208 + 60639 = 109847; 44211 + 87994 = 132205. Nên dấu là <.
Lớp 5,Toán,Học kỳ 1,1. Ôn tập và bổ sung,Chuỗi Quy luật,"18, 21, 24, ___, 30",,27,Quy luật: cộng thêm 3 vào số liền trước.
Lớp 5,Toán,Học kỳ 1,4. Các phép tính với số thập phân,So sánh,"Điền dấu thích hợp (<, >, =): 155711 - 108516 ___ 91187 + 9526",,<,155711 - 108516 = 47195; 91187 + 9526 = 100713. Nên dấu là <.
Lớp 5,Toán,Học kỳ 2,"8. Thể tích, đơn vị đo Thể tích",Đúng/Sai,"Phép tính 88189 - 13535 = 74656, đúng hay sai?",,Sai,Phép tính chính xác là 88189 - 13535 = 74654.
Lớp 5,Toán,Học kỳ 2,"10. Số đo Thời gian, Vận tốc. Các bài toán liên quan đến Chuyển động đều",Điền khuyết,69065 + ___ = 116693,,47628,Số cần điền là 47628 vì 69065 + 47628 = 116693.
Lớp 5,Toán,Học kỳ 2,"8. Thể tích, đơn vị đo Thể tích",So sánh,"Điền dấu thích hợp (<, >, =): 167751 + 8685 ___ 110893 + 52966",,>,167751 + 8685 = 176436; 110893 + 52966 = 163859. Nên dấu là >.
Lớp 5,Toán,Học kỳ 2,"10. Số đo Thời gian, Vận tốc. Các bài toán liên quan đến Chuyển động đều",Điền khuyết,173170 - ___ = 88964,,84206,Số cần điền là 84206 vì 173170 - 84206 = 88964.
Lớp 5,Toán,Học kỳ 1,1. Ôn tập và bổ sung,Chuỗi Quy luật,"11, 15, 19, ___, 27",,23,Quy luật: cộng thêm 4 vào số liền trước.
Lớp 5,Toán,Học kỳ 2,12. Ôn tập cuối năm,Kéo thả,72911 + 52998 = ___,125909 | 125910 | 125908,125909,Kéo số 125909 vào chỗ trống.
Lớp 5,Toán,Học kỳ 2,12. Ôn tập cuối năm,Chuỗi Quy luật,"8, 11, 14, ___, 20",,17,Quy luật: cộng thêm 3 vào số liền trước.
Lớp 5,Toán,Học kỳ 1,5. Một số hình phẳng. Chu vi và Diện tích,Đúng/Sai,"Phép tính 42768 + 68544 = 111312, đúng hay sai?",,Đúng,Phép tính chính xác là 42768 + 68544 = 111312.
Lớp 5,Toán,Học kỳ 1,2. Số thập phân,So sánh,"Điền dấu thích hợp (<, >, =): 88414 + 23068 ___ 51352 + 87190",,<,88414 + 23068 = 111482; 51352 + 87190 = 138542. Nên dấu là <.
Lớp 5,Toán,Học kỳ 1,4. Các phép tính với số thập phân,Kéo thả,26086 + 182021 = ___,208107 | 208108 | 208106,208107,Kéo số 208107 vào chỗ trống.
Lớp 5,Toán,Học kỳ 1,5. Một số hình phẳng. Chu vi và Diện tích,Điền khuyết,90100 - ___ = 55184,,34916,Số cần điền là 34916 vì 90100 - 34916 = 55184.
Lớp 5,Toán,Học kỳ 1,4. Các phép tính với số thập phân,Đúng/Sai,"Phép tính 87071 + 71438 = 158510, đúng hay sai?",,Sai,Phép tính chính xác là 87071 + 71438 = 158509.
Lớp 5,Toán,Học kỳ 1,6. Ôn tập Học kỳ 1,Kéo thả,27395 + 48944 = ___,76339 | 76340 | 76338,76339,Kéo số 76339 vào chỗ trống.
Lớp 5,Toán,Học kỳ 2,12. Ôn tập cuối năm,Chuỗi Quy luật,"1, 3, 5, ___, 9",,7,Quy luật: cộng thêm 2 vào số liền trước.
Lớp 5,Toán,Học kỳ 1,4. Các phép tính với số thập phân,Đúng/Sai,"Phép tính 120397 - 81164 = 39233, đúng hay sai?",,Đúng,Phép tính chính xác là 120397 - 81164 = 39233.
Lớp 5,Toán,Học kỳ 2,9. Diện tích và Thể tích của một số hình khối,Chuỗi Quy luật,"4, 8, 12, ___, 20",,16,Quy luật: cộng thêm 4 vào số liền trước.
Lớp 5,Toán,Học kỳ 1,6. Ôn tập Học kỳ 1,So sánh,"Điền dấu thích hợp (<, >, =): 69065 + 111674 ___ 86689 + 49509",,>,69065 + 111674 = 180739; 86689 + 49509 = 136198. Nên dấu là >.
Lớp 5,Toán,Học kỳ 2,"10. Số đo Thời gian, Vận tốc. Các bài toán liên quan đến Chuyển động đều",Chuỗi Quy luật,"8, 11, 14, ___, 20",,17,Quy luật: cộng thêm 3 vào số liền trước.
Lớp 5,Toán,Học kỳ 2,"10. Số đo Thời gian, Vận tốc. Các bài toán liên quan đến Chuyển động đều",Trắc nghiệm,Kết quả của phép tính 110136 - 48268 là bao nhiêu?,61873 | 61865 | 61868 | 61878,61868,Ta có: 110136 - 48268 = 61868.
Lớp 5,Toán,Học kỳ 1,3. Một số đơn vị đo diện tích,Trắc nghiệm,Kết quả của phép tính 53487 - 1648 là bao nhiêu?,51840 | 51849 | 51834 | 51839,51839,Ta có: 53487 - 1648 = 51839.
Lớp 5,Toán,Học kỳ 2,"10. Số đo Thời gian, Vận tốc. Các bài toán liên quan đến Chuyển động đều",So sánh,"Điền dấu thích hợp (<, >, =): 38903 + 454 ___ 15301 + 90509",,<,38903 + 454 = 39357; 15301 + 90509 = 105810. Nên dấu là <.
Lớp 5,Toán,Học kỳ 1,6. Ôn tập Học kỳ 1,Chuỗi Quy luật,"18, 20, 22, ___, 26",,24,Quy luật: cộng thêm 2 vào số liền trước.
Lớp 5,Toán,Học kỳ 1,3. Một số đơn vị đo diện tích,Chuỗi Quy luật,"20, 24, 28, ___, 36",,32,Quy luật: cộng thêm 4 vào số liền trước.
Lớp 5,Toán,Học kỳ 1,5. Một số hình phẳng. Chu vi và Diện tích,Đúng/Sai,"Phép tính 55585 - 25835 = 29752, đúng hay sai?",,Sai,Phép tính chính xác là 55585 - 25835 = 29750.
Lớp 5,Toán,Học kỳ 1,4. Các phép tính với số thập phân,Chuỗi Quy luật,"19, 24, 29, ___, 39",,34,Quy luật: cộng thêm 5 vào số liền trước.
Lớp 5,Toán,Học kỳ 2,7. Tỉ số và các Bài toán liên quan,Kéo thả,50721 - 49172 = ___,1549 | 1550 | 1548,1549,Kéo số 1549 vào chỗ trống.
Lớp 5,Toán,Học kỳ 2,12. Ôn tập cuối năm,Kéo thả,4603 + 149999 = ___,154602 | 154603 | 154601,154602,Kéo số 154602 vào chỗ trống.
