Cấp Lớp,Môn học,Chủ đề,Mức độ khó,Loại Câu Hỏi,Câu hỏi,Đáp án 1,Đáp án 2,Đáp án 3,Đáp án 4,Đáp án đúng,Lời giải
5,math,math1,easy,multiple_choice,"Bài tập của An: Trong số tự nhiên 1005, chữ số hàng đơn vị là bao nhiêu?",5,9,0,1,5,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 19/95 rút gọn tối giản bằng ... / 5.,4,1,2,3,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 1031 là 1032.,Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 1044 ... 1034",=,<,>,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 40, 80, 120, ...",121,160,200,240,160,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 1070 + [ ] = 1117,46,48,47,57,47,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của Minh: Trong số tự nhiên 1083, chữ số hàng đơn vị là bao nhiêu?",1,0,3,9,3,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 61/305 rút gọn tối giản bằng ... / 5.,1,4,2,3,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 1109 là 1110.,Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 1122 ... 1112",=,<,>,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 82, 164, 246, ...",492,328,410,247,328,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 1148 + [ ] = 1237,99,90,89,88,89,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của Khôi: Trong số tự nhiên 1161, chữ số hàng đơn vị là bao nhiêu?",9,1,0,,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 103/515 rút gọn tối giản bằng ... / 5.,3,4,1,2,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 1187 là 1188.,Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 1200 ... 1190",>,=,<,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 124, 248, 372, ...",496,373,620,744,496,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 1226 + [ ] = 1357,141,131,132,130,131,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của Phong: Trong số tự nhiên 1239, chữ số hàng đơn vị là bao nhiêu?",0,1,9,,9,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 145/725 rút gọn tối giản bằng ... / 5.,2,3,4,1,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 1265 là 1266.,Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 1278 ... 1268",=,<,>,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 166, 332, 498, ...",830,996,499,664,664,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 1304 + [ ] = 1477,173,174,183,172,173,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của Hà: Trong số tự nhiên 1317, chữ số hàng đơn vị là bao nhiêu?",9,1,0,7,7,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 187/935 rút gọn tối giản bằng ... / 5.,4,2,1,3,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 1343 là 1344.,Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 1356 ... 1346",<,>,=,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 208, 416, 624, ...",1040,625,1248,832,832,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 1382 + [ ] = 1597,225,214,216,215,215,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của Trang: Trong số tự nhiên 1395, chữ số hàng đơn vị là bao nhiêu?",0,9,5,1,5,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 229/1145 rút gọn tối giản bằng ... / 5.,2,1,3,4,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 1421 là 1422.,Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 1434 ... 1424",<,>,=,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 250, 500, 750, ...",751,1500,1000,1250,1000,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 1460 + [ ] = 1717,258,257,256,267,257,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của Hương: Trong số tự nhiên 1473, chữ số hàng đơn vị là bao nhiêu?",3,1,0,9,3,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 271/1355 rút gọn tối giản bằng ... / 5.,3,2,4,1,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 1499 là 1500.,Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 1512 ... 1502",<,=,>,,>,Ôn luyện Toán 5 - Chủ đề 1
