Tên Đề Thi,Cấp Lớp,Mốc Thời Gian,Loại Câu Hỏi,Nội dung câu hỏi,Đáp án 1,Đáp án 2,Đáp án 3,Đáp án 4,Đáp án đúng
Đề thi Toán Lớp 1 - MID1 - Đề 1,1,mid1,multiple_choice,Tính: 3 + 1 = ?,4,6,3,5,4
Đề thi Toán Lớp 1 - MID1 - Đề 1,1,mid1,comparison,So sánh: 9 ... 5,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 1,1,mid1,fill_blank,Điền số: 2 - 1 = ...,1,2,,,1
Đề thi Toán Lớp 1 - MID1 - Đề 1,1,mid1,multiple_choice,Tính: 3 + 1 = ?,3,5,4,6,4
Đề thi Toán Lớp 1 - MID1 - Đề 1,1,mid1,true_false,Đúng hay sai: 2 < 6,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 1,1,mid1,true_false,Đúng hay sai: 3 < 6,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 1,1,mid1,comparison,So sánh: 6 ... 5,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 1,1,mid1,true_false,Đúng hay sai: 1 < 4,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 1,1,mid1,true_false,Đúng hay sai: 4 < 6,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 1,1,mid1,true_false,Đúng hay sai: 1 < 4,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 2,1,mid1,true_false,Đúng hay sai: 4 < 8,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 2,1,mid1,multiple_choice,Tính: 4 + 4 = ?,10,7,9,8,8
Đề thi Toán Lớp 1 - MID1 - Đề 2,1,mid1,comparison,So sánh: 8 ... 5,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 2,1,mid1,comparison,So sánh: 9 ... 5,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 2,1,mid1,multiple_choice,Tính: 5 + 2 = ?,9,6,7,8,7
Đề thi Toán Lớp 1 - MID1 - Đề 2,1,mid1,comparison,So sánh: 6 ... 4,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 2,1,mid1,comparison,So sánh: 3 ... 2,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 2,1,mid1,comparison,So sánh: 7 ... 4,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 2,1,mid1,comparison,So sánh: 7 ... 3,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 2,1,mid1,comparison,So sánh: 6 ... 4,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 3,1,mid1,true_false,Đúng hay sai: 3 < 4,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 3,1,mid1,multiple_choice,Tính: 2 + 4 = ?,5,6,7,8,6
Đề thi Toán Lớp 1 - MID1 - Đề 3,1,mid1,true_false,Đúng hay sai: 4 < 8,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 3,1,mid1,comparison,So sánh: 5 ... 4,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 3,1,mid1,true_false,Đúng hay sai: 3 < 7,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 3,1,mid1,multiple_choice,Tính: 4 + 3 = ?,6,8,7,9,7
Đề thi Toán Lớp 1 - MID1 - Đề 3,1,mid1,comparison,So sánh: 4 ... 1,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 3,1,mid1,comparison,So sánh: 4 ... 3,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 3,1,mid1,fill_blank,Điền số: 6 - 4 = ...,2,4,6,3,2
Đề thi Toán Lớp 1 - MID1 - Đề 3,1,mid1,comparison,So sánh: 2 ... 1,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 4,1,mid1,multiple_choice,Tính: 4 + 1 = ?,7,4,5,6,5
Đề thi Toán Lớp 1 - MID1 - Đề 4,1,mid1,multiple_choice,Tính: 5 + 3 = ?,9,10,8,7,8
Đề thi Toán Lớp 1 - MID1 - Đề 4,1,mid1,true_false,Đúng hay sai: 5 < 9,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 4,1,mid1,fill_blank,Điền số: 7 - 5 = ...,2,5,7,3,2
Đề thi Toán Lớp 1 - MID1 - Đề 4,1,mid1,comparison,So sánh: 7 ... 5,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 4,1,mid1,true_false,Đúng hay sai: 1 < 5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 4,1,mid1,fill_blank,Điền số: 5 - 2 = ...,3,2,5,4,3
Đề thi Toán Lớp 1 - MID1 - Đề 4,1,mid1,comparison,So sánh: 6 ... 4,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 4,1,mid1,fill_blank,Điền số: 5 - 4 = ...,1,4,5,2,1
Đề thi Toán Lớp 1 - MID1 - Đề 4,1,mid1,multiple_choice,Tính: 4 + 1 = ?,7,4,6,5,5
Đề thi Toán Lớp 1 - MID1 - Đề 5,1,mid1,multiple_choice,Tính: 1 + 4 = ?,5,6,7,4,5
Đề thi Toán Lớp 1 - MID1 - Đề 5,1,mid1,comparison,So sánh: 4 ... 3,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 5,1,mid1,comparison,So sánh: 6 ... 4,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 5,1,mid1,fill_blank,Điền số: 7 - 5 = ...,2,5,7,3,2
Đề thi Toán Lớp 1 - MID1 - Đề 5,1,mid1,comparison,So sánh: 8 ... 5,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 5,1,mid1,comparison,So sánh: 7 ... 5,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 5,1,mid1,multiple_choice,Tính: 5 + 4 = ?,10,8,11,9,9
Đề thi Toán Lớp 1 - MID1 - Đề 5,1,mid1,multiple_choice,Tính: 5 + 1 = ?,7,6,5,8,6
Đề thi Toán Lớp 1 - MID1 - Đề 5,1,mid1,comparison,So sánh: 3 ... 1,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 5,1,mid1,fill_blank,Điền số: 7 - 5 = ...,2,5,7,3,2
Đề thi Toán Lớp 1 - MID1 - Đề 6,1,mid1,fill_blank,Điền số: 6 - 2 = ...,4,2,6,5,4
